,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,SD,,80.00,,,,,,,,,,,,,
,,,,,,tau,10000,80.00,,,,,,,,,,,,,
,,,,,,visits,1,1.00,,,,,,,,,,,,,
M,N_C,N_W,,,,,R_C,R_W,,,,,Rcycle,Rsys,Tsys,U_W,,,,,Rsys-slope
89,86.87,2.125,,,,,10000,244.62,,,,,10244.62,244.62,0.0087,0.695,,,,,5.2
90,87.80,2.195,,,,,10000,250.01,,,,,10250.01,250.01,0.0088,0.702,,,,,5.4
91,88.73,2.268,,,,,10000,255.62,,,,,10255.62,255.62,0.0089,0.710,,,,,5.6
92,89.66,2.344,,,,,10000,261.45,,,,,10261.45,261.45,0.0090,0.717,,,,,5.8
93,90.58,2.423,,,,,10000,267.53,,,,,10267.53,267.53,0.0091,0.725,,,,,6.1
94,91.49,2.506,,,,,10000,273.85,,,,,10273.85,273.85,0.0091,0.732,,,,,6.3
95,92.41,2.592,,,,,10000,280.45,,,,,10280.45,280.45,0.0092,0.739,,,,,6.6
96,93.32,2.681,,,,,10000,287.33,,,,,10287.33,287.33,0.0093,0.747,,,,,6.9
97,94.23,2.775,,,,,10000,294.50,,,,,10294.50,294.50,0.0094,0.754,,,,,7.2
98,95.13,2.873,,,,,10000,302.00,,,,,10302.00,302.00,0.0095,0.761,,,,,7.5
99,96.02,2.975,,,,,10000,309.82,,,,,10309.82,309.82,0.0096,0.768,,,,,7.8
100,96.92,3.082,,,,,10000,318.01,,,,,10318.01,318.01,0.0097,0.775,,,,,8.2
101,97.81,3.194,,,,,10000,326.56,,,,,10326.56,326.56,0.0098,0.782,,,,,8.6
102,98.69,3.311,,,,,10000,335.52,,,,,10335.52,335.52,0.0099,0.790,,,,,9.0
103,99.57,3.434,,,,,10000,344.90,,,,,10344.90,344.90,0.0100,0.797,,,,,9.4
104,100.44,3.563,,,,,10000,354.72,,,,,10354.72,354.72,0.0100,0.803,,,,,9.8
105,101.30,3.698,,,,,10000,365.02,,,,,10365.02,365.02,0.0101,0.810,,,,,10.3
106,102.16,3.839,,,,,10000,375.82,,,,,10375.82,375.82,0.0102,0.817,,,,,10.8
107,103.01,3.988,,,,,10000,387.15,,,,,10387.15,387.15,0.0103,0.824,,,,,11.3
108,103.86,4.144,,,,,10000,399.05,,,,,10399.05,399.05,0.0104,0.831,,,,,11.9
109,104.69,4.309,,,,,10000,411.55,,,,,10411.55,411.55,0.0105,0.838,,,,,12.5
110,105.52,4.481,,,,,10000,424.68,,,,,10424.68,424.68,0.0106,0.844,,,,,13.1
111,106.34,4.663,,,,,10000,438.50,,,,,10438.50,438.50,0.0106,0.851,,,,,13.8
112,107.15,4.854,,,,,10000,453.03,,,,,10453.03,453.03,0.0107,0.857,,,,,14.5
113,107.94,5.055,,,,,10000,468.32,,,,,10468.32,468.32,0.0108,0.864,,,,,15.3
114,108.73,5.267,,,,,10000,484.42,,,,,10484.42,484.42,0.0109,0.870,,,,,16.1
115,109.51,5.491,,,,,10000,501.38,,,,,10501.38,501.38,0.0110,0.876,,,,,17.0
116,110.27,5.726,,,,,10000,519.25,,,,,10519.25,519.25,0.0110,0.882,,,,,17.9
117,111.03,5.974,,,,,10000,538.08,,,,,10538.08,538.08,0.0111,0.888,,,,,18.8
118,111.76,6.236,,,,,10000,557.92,,,,,10557.92,557.92,0.0112,0.894,,,,,19.8
119,112.49,6.511,,,,,10000,578.85,,,,,10578.85,578.85,0.0112,0.900,,,,,20.9
120,113.20,6.802,,,,,10000,600.91,,,,,10600.91,600.91,0.0113,0.906,,,,,22.1
121,113.89,7.109,,,,,10000,624.17,,,,,10624.17,624.17,0.0114,0.911,,,,,23.3
122,114.57,7.432,,,,,10000,648.70,,,,,10648.70,648.70,0.0115,0.917,,,,,24.5
123,115.23,7.773,,,,,10000,674.56,,,,,10674.56,674.56,0.0115,0.922,,,,,25.9
124,115.87,8.132,,,,,10000,701.83,,,,,10701.83,701.83,0.0116,0.927,,,,,27.3
125,116.49,8.510,,,,,10000,730.55,,,,,10730.55,730.55,0.0116,0.932,,,,,28.7
126,117.09,8.909,,,,,10000,760.82,,,,,10760.82,760.82,0.0117,0.937,,,,,30.3
127,117.67,9.328,,,,,10000,792.68,,,,,10792.68,792.68,0.0118,0.941,,,,,31.9
128,118.23,9.768,,,,,10000,826.21,,,,,10826.21,826.21,0.0118,0.946,,,,,33.5
129,118.77,10.232,,,,,10000,861.48,,,,,10861.48,861.48,0.0119,0.950,,,,,35.3
130,119.28,10.718,,,,,10000,898.53,,,,,10898.53,898.53,0.0119,0.954,,,,,37.1
131,119.77,11.228,,,,,10000,937.43,,,,,10937.43,937.43,0.0120,0.958,,,,,38.9
132,120.24,11.762,,,,,10000,978.22,,,,,10978.22,978.22,0.0120,0.962,,,,,40.8
133,120.68,12.321,,,,,10000,1020.96,,,,,11020.96,1020.96,0.0121,0.965,,,,,42.7
134,121.10,12.905,,,,,10000,1065.67,,,,,11065.67,1065.67,0.0121,0.969,,,,,44.7
135,121.49,13.514,,,,,10000,1112.38,,,,,11112.38,1112.38,0.0121,0.972,,,,,46.7
136,121.85,14.148,,,,,10000,1161.11,,,,,11161.11,1161.11,0.0122,0.975,,,,,48.7
137,122.19,14.808,,,,,10000,1211.86,,,,,11211.86,1211.86,0.0122,0.978,,,,,50.8
138,122.51,15.493,,,,,10000,1264.64,,,,,11264.64,1264.64,0.0123,0.980,,,,,52.8
139,122.80,16.202,,,,,10000,1319.42,,,,,11319.42,1319.42,0.0123,0.982,,,,,54.8
140,123.06,16.936,,,,,10000,1376.18,,,,,11376.18,1376.18,0.0123,0.985,,,,,56.8
141,123.31,17.693,,,,,10000,1434.86,,,,,11434.86,1434.86,0.0123,0.986,,,,,58.7
142,123.53,18.473,,,,,10000,1495.43,,,,,11495.43,1495.43,0.0124,0.988,,,,,60.6
143,123.73,19.274,,,,,10000,1557.81,,,,,11557.81,1557.81,0.0124,0.990,,,,,62.4
144,123.90,20.096,,,,,10000,1621.93,,,,,11621.93,1621.93,0.0124,0.991,,,,,64.1
145,124.06,20.938,,,,,10000,1687.71,,,,,11687.71,1687.71,0.0124,0.992,,,,,65.8
146,124.20,21.798,,,,,10000,1755.04,,,,,11755.04,1755.04,0.0124,0.994,,,,,67.3
147,124.33,22.675,,,,,10000,1823.84,,,,,11823.84,1823.84,0.0124,0.995,,,,,68.8
148,124.43,23.567,,,,,10000,1893.99,,,,,11893.99,1893.99,0.0124,0.995,,,,,70.2
149,124.53,24.474,,,,,10000,1965.39,,,,,11965.39,1965.39,0.0125,0.996,,,,,71.4
150,124.61,25.394,,,,,10000,2037.94,,,,,12037.94,2037.94,0.0125,0.997,,,,,72.5
151,124.67,26.325,,,,,10000,2111.52,,,,,12111.52,2111.52,0.0125,0.997,,,,,73.6
152,124.73,27.267,,,,,10000,2186.02,,,,,12186.02,2186.02,0.0125,0.998,,,,,74.5
153,124.78,28.218,,,,,10000,2261.35,,,,,12261.35,2261.35,0.0125,0.998,,,,,75.3
154,124.82,29.176,,,,,10000,2337.41,,,,,12337.41,2337.41,0.0125,0.999,,,,,76.1
155,124.86,30.142,,,,,10000,2414.12,,,,,12414.12,2414.12,0.0125,0.999,,,,,76.7
156,124.89,31.114,,,,,10000,2491.37,,,,,12491.37,2491.37,0.0125,0.999,,,,,77.3
157,124.91,32.091,,,,,10000,2569.10,,,,,12569.10,2569.10,0.0125,0.999,,,,,77.7
158,124.93,33.072,,,,,10000,2647.24,,,,,12647.24,2647.24,0.0125,0.999,,,,,78.1
159,124.94,34.056,,,,,10000,2725.73,,,,,12725.73,2725.73,0.0125,1.000,,,,,78.5
160,124.96,35.044,,,,,10000,2804.50,,,,,12804.50,2804.50,0.0125,1.000,,,,,78.8
161,124.97,36.034,,,,,10000,2883.51,,,,,12883.51,2883.51,0.0125,1.000,,,,,79.0
162,124.97,37.026,,,,,10000,2962.73,,,,,12962.73,2962.73,0.0125,1.000,,,,,79.2
163,124.98,38.020,,,,,10000,3042.10,,,,,13042.10,3042.10,0.0125,1.000,,,,,79.4
164,124.98,39.015,,,,,10000,3121.61,,,,,13121.61,3121.61,0.0125,1.000,,,,,79.5
